"","id","age","male","profession","recognize","wager","eyebrow","robot","child"
"26.nice-6",26,26,NA,3,2,20,"a.Nice","f.Human",FALSE
"27.nice-6",27,31,1,5,2,0,"a.Nice","f.Human",FALSE
"28.nice-6",28,25,0,5,2,60,"a.Nice","f.Human",FALSE
"29.nice-6",29,24,1,5,1,50,"a.Nice","f.Human",FALSE
"30.nice-6",30,24,0,5,2,20,"a.Nice","f.Human",FALSE
"31.nice-6",31,26,0,5,1,50,"a.Nice","f.Human",FALSE
"32.nice-6",32,22,0,2,1,20,"a.Nice","f.Human",FALSE
"43.nice-6",43,22,0,5,2,5,"a.Nice","f.Human",FALSE
"44.nice-6",44,24,0,5,2,50,"a.Nice","f.Human",FALSE
"45.nice-6",45,26,0,5,1,0,"a.Nice","f.Human",FALSE
"58.nice-6",58,38,1,3,1,100,"a.Nice","f.Human",FALSE
"63.nice-6",63,54,1,1,1,15,"a.Nice","f.Human",FALSE
"64.nice-6",64,35,1,3,1,70,"a.Nice","f.Human",FALSE
"65.nice-6",65,35,1,3,2,70,"a.Nice","f.Human",FALSE
"66.nice-6",66,10,0,5,1,60,"a.Nice","f.Human",TRUE
"68.nice-6",68,35,0,3,2,50,"a.Nice","f.Human",FALSE
"71.nice-6",71,35,0,1,2,100,"a.Nice","f.Human",FALSE
"72.nice-6",72,50,0,3,2,30,"a.Nice","f.Human",FALSE
"73.nice-6",73,43,0,1,2,100,"a.Nice","f.Human",FALSE
"74.nice-6",74,44,1,3,2,10,"a.Nice","f.Human",FALSE
"83.nice-6",83,25,0,3,2,20,"a.Nice","f.Human",FALSE
"84.nice-6",84,24,0,3,2,80,"a.Nice","f.Human",FALSE
"85.nice-6",85,24,0,3,2,1,"a.Nice","f.Human",FALSE
"86.nice-6",86,22,0,3,2,5,"a.Nice","f.Human",FALSE
"87.nice-6",87,25,0,3,2,30,"a.Nice","f.Human",FALSE
"92.nice-6",92,42,1,3,2,10,"a.Nice","f.Human",FALSE
"1.mean-1",1,71,1,1,2,100,"b.Mean","a.Cog",FALSE
"2.mean-1",2,62,0,3,2,30,"b.Mean","a.Cog",FALSE
"3.mean-1",3,71,1,1,1,40,"b.Mean","a.Cog",FALSE
"4.mean-1",4,68,0,6,1,30,"b.Mean","a.Cog",FALSE
"5.mean-1",5,48,1,1,2,50,"b.Mean","a.Cog",FALSE
"6.mean-1",6,46,0,6,2,0,"b.Mean","a.Cog",FALSE
"7.mean-1",7,54,0,1,2,50,"b.Mean","a.Cog",FALSE
"8.mean-1",8,49,0,3,2,50,"b.Mean","a.Cog",FALSE
"9.mean-1",9,48,1,3,2,30,"b.Mean","a.Cog",FALSE
"11.mean-1",11,55,0,1,2,0,"b.Mean","a.Cog",FALSE
"12.mean-1",12,NA,0,1,2,50,"b.Mean","a.Cog",NA
"15.mean-1",15,31,0,3,1,40,"b.Mean","a.Cog",FALSE
"18.mean-1",18,28,1,5,1,50,"b.Mean","a.Cog",FALSE
"19.mean-1",19,24,0,5,2,75,"b.Mean","a.Cog",FALSE
"20.mean-1",20,27,0,5,2,50,"b.Mean","a.Cog",FALSE
"21.mean-1",21,27,1,5,2,20,"b.Mean","a.Cog",FALSE
"22.mean-1",22,25,1,6,2,10,"b.Mean","a.Cog",FALSE
"23.mean-1",23,23,1,3,1,55,"b.Mean","a.Cog",FALSE
"26.mean-1",26,26,NA,3,2,0,"b.Mean","a.Cog",FALSE
"27.mean-1",27,31,1,5,2,100,"b.Mean","a.Cog",FALSE
"28.mean-1",28,25,0,5,2,30,"b.Mean","a.Cog",FALSE
"29.mean-1",29,24,1,5,1,0,"b.Mean","a.Cog",FALSE
"30.mean-1",30,24,0,5,2,40,"b.Mean","a.Cog",FALSE
"31.mean-1",31,26,0,5,1,25,"b.Mean","a.Cog",FALSE
"32.mean-1",32,22,0,2,1,80,"b.Mean","a.Cog",FALSE
"43.mean-1",43,22,0,5,2,10,"b.Mean","a.Cog",FALSE
"44.mean-1",44,24,0,5,2,100,"b.Mean","a.Cog",FALSE
"45.mean-1",45,26,0,5,1,0,"b.Mean","a.Cog",FALSE
