ID,RSEX,KIDBORN,IDENTITY,LONGILL,LIVEWITH,HOUSTYP,HAPPYSCH,PUPBULL,UBULLPHY,UBULLOTH,UBULLSMS,TALENTS,DECISION,RESOLVE,DEVHEAL,GETONWEL,CRITICAL,CREATIVE,DEALCHL,VALUED,MAFEEQ,MAFAIR,MAHARSH,SCHACTIV,RESPECT,KY10INGH,KY10IN01,KY10IN02,KY10IN03,KY10IN04,KY10IN05,KY10IN06,KY10IN07,KY10IN08,KY10IN09,KY10IN10,KYFINAN,AUTKNOW,Autismp1,Autismp2,Autismp3,Autismp4,autismp5,autismp6,autismnoone,autismdontknow,AUTDIFF,AUTGOOD,AUTNXTDR,AUTCLASS,AUTXHELP,AUTBULL,AUTBULLU,AGMORESP,AGLERESP,AGADMIR,AGLISTEN,AGNOMIX,AGMIX,AGMOVE,AGGENER,AGMEMOR,AGLIVE,KC10IN_T,SCHOOLLOC
2365,2,1,1,2,1,3,1,4,3,3,2,1,1,1,1,1,1,2,3,1,3,5,5,2,2,3,4,3,3,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,57.2859533551951,1
2366,1,1,3,2,1,1,1,3,3,3,2,1,1,1,1,1,1,2,1,1,1, , , ,1,1,4,4,4,5,4,5,5,5,5,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,57.2859533551951,1
2367,2,1,3,2,1,1,1,2,3,3,1,2,2,1,1,2,1,2,2,3,2,3,3,2,1,2,5,4,4,5,3,5,5,5,4,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,57.2859533551951,1
2368,1,1,3,2,1, ,1,2,3,3,2,1,1,1,1,1,1,1,1,1,1, , , ,1,1,5,4,4,4,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,62.9351790050011,1
2369,1,1,1,2,1,3,1,3,3,3,2,1,2,1,3,2,2,1,1,1,2,5,2,3,1,2,4,3,3,2,5,4,5,3,4,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,44.4784623272101,1
2370,2,1,3,2,1,3,1,4,3,3,2,2,2,2,2,2,2,2,3,2,1, , , ,2,2,4,4,4,4,3,4,5,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,48.2897549745108,1
2371,1,1,1,2,1,2,1,2,2,3,2,2,2,2,2,1,2,2,1,2,2,3,6,1,2,3,3,2,4,5,4,3,5,5,5,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,49.7601013765151,1
2372,2,1,2,2,1,1,1,4,3,3,3,2,2,1,1,1,1,2,3,1,1, , , ,1,2,3,3,3,4,4,4,5,3,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,45.6682821130426,1
2373,1,1,3,2,1,1,1,3,3,3,2,1,1,1,1,1,1,1,1,1,1, , , ,1,1,5,5,3,5,5,5,5,5,5,5,5,1, , , , , ,1, , ,3,3,1,1,3,2,2,1,4,1,4,4,1,1,1,1,1,66.8625516314074,1
2374,2,1,1,1,1,2,1,3,3,3, ,1,1, ,2,1,1,1,1,1,1, , , ,1,1,4,5,3,5,5,5,5,5,5,5,3,2, , , , , , ,1, ,3,1,1,1,3,2,2,5,5,4,4,4,4,5,1,2,2,62.9351790050011,1
2375,1,1,3,2,1,1,1,3,3,3,2,2,1,2,1,2,2,2,1,2,2,5,5,3,1,1,4,4,4,5,4,4,5,5,4,5,4,2, , , , ,1, , , ,1,3,1,1,3,2,2,4,1,1,4,2,3,3,1,4,1,55.0707604205965,1
2376,2,1,1,1,3,2,3,2,3,3,2,2,2,1,2,3,2,1,3,6,2,3,3,2,2,3,4,2,3,5,2,2,4,3,4,3,5,1, , , , , , ,1, ,1,1,2,4,3,2,2,4,1,1,4,4,2,2,2,3,2,39.2838832622343,1
2377,2,1,3,2,2,2,1,4,3,2,2,2,2,3,3,2,2,1,1,4,1, , , ,2,2,4,3,3,3,2,2,5,4,3,4,4,2, , , , ,1, , , ,3,3,1,1,3,2,2,5,2,2,3,2,2,4,2,2,2,40.2415430898556,1
2378,2,1,3,1,1,1,1,3,3,3,2,1,2,1,1,2,1,2,1,2,2,3,2,1,1,1,5,4,4,4,2,4,4,5,5,3,3,1, , , , , , ,1, ,3,3,1,1,3,2,2,1,2,1,3,4,1,3,1,3,2,48.2897549745108,1
2379,2,1,1,2,1,1,1,2,3,3,2,1,2,2,2,1,2,2,1,3,3,2,4,2,1,1,3,3,4,3,2,4,5,4,3,5,3,1, ,1, , , , , , ,1,3,1,1,3,2,2,1,4,1,4,5,5,2,1,2,2,43.3466825309305,1
2380,2,1,3,2,1,1,1,2,3,3,2,2,4,3,2,4,1,1,1,3,3,5,2,1,2,1,3,4,4,4,2,4,3,5,4,3,5,1, , ,1, ,1, , , ,1,1,1,1,3,2,2,3,2,2,4,4,2,3,1,2,2,43.3466825309305,1
2381,2,1,1,2,1,2,1,3,3,3,2,1,1,1,2,1,2, ,3,1,1, , , ,1,2,5,4,4,5,5,4,5,5,5,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,59.8493862271105,1
2382,1,1,2,2,1,1,1,3,3,3,2,2,2,2,2,1,2,3,3,1,1, , , ,1,1,5,5,4,5,2,5,5,5,5,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,1
2383,2,1,3,1,1,2,1,2,4,2,1,1,1,2,1,2,1,1,3,2,2,3,1,3,2,3,2,3,3,3,2,3,5,3,2,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,37.4169302649526,1
2384,2,3,6,3,1,5,1,3,3,3,1,1,1,1,1,1,2,2,2,1,1, , , ,1,1,4,4,3,1,5,1,3,3,3,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,38.3358967662053,1
2385,2,1,1,2,1,1,1,2,3,3,1,6,2,1,2,2,3,3,2,3,1, , , ,1,1,5,3,2,3,5,3,5,5,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,48.2897549745108,1
2386,2,2,2,2,2,1,1,3,2,3,2,2,1,1,2,2,2,1,1,1,2,4,5,2,2,1,5,5,4,5,4,3,5,5,5,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,57.2859533551951,1
2387,1,1,3,2,1,1,1,4,4,2,1,1,2,2,1,2,1,2,3,2,1, , , ,1,1,4,5,4,4,4,3,5,4,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,1
2388,2,1,7,2,2,2,2,2,3,3,2,2,2,6,2,2,1,2, ,2,1, , , ,2,1,2,5,5,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,62.9351790050011,1
2389,2,1,7,1,1,2,1,2,1,2,2,1,2,2,1,2,3,1,1,2,1, , , ,1,2,5,5,3,4,4,5,5,5,1,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,51.3562010892171,1
2390,2,1,7,2,1,3,1,2,3,3,2,1,1,2,1,1,1,1,3,1,1, , , ,1,3,5,4,4,5,4,4,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,59.8493862271105,1
2391,2,1,3,2,1,2,1,2,2,3,2,1,1,2,1,2,1,1,3,2,2,3,6,2,1,3,3,4,4,4,2,3,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,48.2897549745108,1
2392,1,1,1,2,2,1,1,4,3,3,2,6,4,3,3,3,3,4,2,3,3,2,4,2,1,2,3,2,4,4,2,1,5,4,5,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,40.2415430898556,1
2393,1,1,1,2,1,1,1,4,3,3,2,2,1,2,1,1,2,1,3,2,2,3,5,2,1,3,5,5,5,5,4,5,5,2,4,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,55.0707604205965,1
2394,2,1,1,3,3,1,3,4,4,2,3,3,2,5,2,2,4,1,1,4,2,2,5,1,2,4,2,2,1,2,1,5,3,2,2,3,3,1, , ,1, , , , , ,1, ,2,1,1,3,2,3,1,4,1,1,1,4,3,4,2,30.9648180929994,1
