"","id","sex","age","video.game.hrs.wk","own.robot","robot","vas","male","child"
"38.f.Human",38,"F",69,0,"N","f.Human",72,0,FALSE
"39.f.Human",39,"M",76,0,"N","f.Human",68,1,FALSE
"41.f.Human",41,"M",33,0.5,"N","f.Human",44,1,FALSE
"42.f.Human",42,"M",14,12,"N","f.Human",-6,1,TRUE
"44.f.Human",44,"F",46,0,"N","f.Human",68,0,FALSE
"45.f.Human",45,"F",46,0,"N","f.Human",33,0,FALSE
"46.f.Human",46,"F",12,0,"N","f.Human",71,0,TRUE
"47.f.Human",47,"M",54,0,"N","f.Human",12,1,FALSE
"48.f.Human",48,"F",47,0,"N","f.Human",-55,0,FALSE
"50.f.Human",50,"M",14,10,"N","f.Human",50,1,TRUE
"51.f.Human",51,"M",11,1,"N","f.Human",30,1,TRUE
"52.f.Human",52,"F",13,3,"N","f.Human",33,0,TRUE
"2.f.Human",2,"F",52,0,"Y","f.Human",65,0,FALSE
"11.f.Human",11,"F",13,0,"Y","f.Human",65,0,TRUE
"12.f.Human",12,"M",48,0,"Y","f.Human",45,1,FALSE
"13.f.Human",13,"F",32,0,"Y","f.Human",21,0,FALSE
"14.f.Human",14,"F",51,0,"Y","f.Human",33,0,FALSE
"15.f.Human",15,"M",14,2,"Y","f.Human",-37,1,TRUE
"16.f.Human",16,"F",50,0,"Y","f.Human",61,0,FALSE
"17.f.Human",17,"F",44,0,"Y","f.Human",20,0,FALSE
"22.f.Human",22,"F",33,0,"Y","f.Human",-34,0,FALSE
"23.f.Human",23,"F",13,0,"Y","f.Human",40,0,TRUE
"27.f.Human",27,"M",12,10,"Y","f.Human",-65,1,TRUE
"28.f.Human",28,"M",44,0.25,"Y","f.Human",-42,1,FALSE
"33.f.Human",33,"F",48,0,"Y","f.Human",30,0,FALSE
"37.f.Human",37,"F",52,0.5,"Y","f.Human",13,0,FALSE
"40.f.Human",40,"F",54,0,"Y","f.Human",-10,0,FALSE
"43.f.Human",43,"M",10,16,"Y","f.Human",55,1,TRUE
"49.f.Human",49,"F",11,5,"Y","f.Human",35,0,TRUE
"1.d.K.bot",1,"M",39,0,"N","d.K.bot",-6,1,FALSE
"3.d.K.bot",3,"M",56,0,"N","d.K.bot",-14,1,FALSE
